PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40053812,How TikTok Influencers Disclose Food and Beverage Brand Partnerships: Descriptive Study.,,N/A,N/A,N/A
40053782,Effects and Acceptability of a 1-Week Home-Based Virtual Reality Training for Supporting the Management of Stress and Anxiety: Randomized Pilot Trial.,,N/A,N/A,N/A
40053771,Applying Robotic Process Automation to Monitor Business Processes in Hospital Information Systems: Mixed Method Approach.,,N/A,N/A,N/A
40053654,"Interactions between Vibroacoustic Discomfort and Visual Stimuli: Comparison of Real, 3D and 360 Environments.",,N/A,N/A,N/A
40053652,Illuminating the Scene: How Virtual Environments and Learning Modes Shape Film Lighting Mastery in Virtual Reality.,,N/A,N/A,N/A
40053638,OPVSim: Applying a Graph-Based Methodology for VR Training in Guided Learning of Emergency Procedures in a Ship's Engineering Room.,,N/A,N/A,N/A
40053550,Effect of Trauma Bay Curtains on Ambient Noise and Number of Staff Present During Trauma Resuscitations.,,Jan Serrano,"Author Affiliations: Department of Trauma Services, Arrowhead Regional Medical Center, Colton, California (Dr Serrano); School of Medicine, St.George University, Grenada, West Indies (Dr Azor); Office of Research and Biotechnology, Western University of Health Sciences, College of Graduate Medical Science, Pomona, California (Dr Dong); Department of Emergency Medicine, Arrowhead Regional Medical Center, Colton, California (Dr Neeki); and Department of Surgery, Arrowhead Regional Medical Center, Colton, California (Dr Wong).",N/A
40053539,Acceptability and feasibility of acceptance and commitment therapy for improving outcomes in hematopoietic stem cell transplant.,,N/A,N/A,N/A
40053334,Population-Based Payments to Deliver Health Care to Unhoused Individuals.,,N/A,N/A,N/A
40053285,CZT-based photon-counting-detector CT with deep-learning reconstruction: image quality and diagnostic confidence for lung tumor assessment.,,Hiroki Taguchi,"Canon Medical Systems Corporation, 1385 Shimoishigami, Otawara, Tochigi, 324-8550, Japan.",N/A
