PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40054036,Clinical benefits of CT-guided microwave ablation combined with percutaneous vertebroplasty for spinal metastases: Local tumor control and a multivariate analysis of bone cement leakage.,,N/A,N/A,N/A
40054030,Immunotherapy-responsive parkinsonism and anosmia in anti-NMDA receptor encephalitis with seropositive NMOSD: A case report.,,N/A,N/A,N/A
40054029,Significant elevation of CSF IL-6 levels and motor dominant neuropathy in a severe case of Surfer's myelopathy due to an exercise unrelated to surfing.,,N/A,N/A,N/A
40054027,Core elements and principles of nutrition models of care for people with cancer: A scoping review.,,N/A,N/A,N/A
40054026,Dataset-free weight-initialization on restricted Boltzmann machine.,,Ryosuke Maeno,"Techno Provide Inc., Honcho 1-1-8, Aoba-ku, Sendai, 980-0014, Miyagi, Japan.",N/A
40054024,PrivCore: Multiplication-activation co-reduction for efficient private inference.,,N/A,N/A,N/A
40054021,"Parenting by mothers from marginalised Roma communities in Slovakia: The role of financial insecurity, social support and perceived stress.",,N/A,N/A,N/A
40054019,Beyond sialylation: Exploring the multifaceted role of GNE in GNE myopathy.,,N/A,N/A,N/A
40054018,Association between serum levels of inflammatory mediators and periodontitis severity in people with down syndrome.,,N/A,N/A,N/A
40054016,JoGo-LILR caller: Unveiling and navigating the complex diversity of LILRB3-LILRA6 copy number haplotype structures with whole-genome sequencing.,,Kouyuki Hirayasu,"Advanced Preventive Medical Sciences Research Center, Kanazawa University, Kanazawa, Japan; Department of Evolutionary Immunology, Graduate School of Advanced Preventive Medical Sciences, Kanazawa University, Kanazawa, Japan; Department of Immunology, Graduate School of Medical Sciences, Kanazawa University, Kanazawa, Japan; Department of Immunology, School of Medical and Pharmaceutical Sciences, Kanazawa University, Kanazawa, Japan.",N/A
