PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations,Corresponding Author Email
40053055,Comparison of direct intrahepatic portosystemic shunt and other major radiological interventions in patients with Budd-Chiari syndrome.,,N/A,N/A,N/A
40053031,Prediction of maximum oxygen uptake over time in adults: analysis from the FRIEND registry.,,N/A,N/A,N/A
40051858,Differences in vaping frequency and negative health effects experienced from vaping in a sample of vapers from three Middle Eastern countries.,,N/A,N/A,N/A
40050938,Dysregulated ATX-LPA and YAP/TAZ signaling in dystrophic Sgcd,,N/A,N/A,N/A
40050827,"Assessment of the awareness of rabies, rabies prophylaxis guidelines and rabies practice among physicians in Sudan: a national cross-sectional study, 2024.",,N/A,N/A,N/A
40049231,"The interplay of food insecurity, diet quality and dementia status in their association with all-cause mortality among older US adults in the Health and Retirement Study 2012-2020.",,N/A,N/A,N/A
40048288,"Yes, you can do global, cross-cultural behavioral science research using existing survey firms.",,N/A,N/A,N/A
40045692,An Attention-Aware Multi-Task Learning Framework Identifies Candidate Targets for Drug Repurposing in Sarcopenia.,,N/A,N/A,N/A
40045269,Drivers and barriers to promoting self-care in individuals living with multiple long-term health conditions: a cross-sectional online survey of health and care professionals.,,N/A,N/A,N/A
40043174,Religion v. Science? No and Yes.,,N/A,N/A,N/A
